Name,Team,Dependencies Team,Docs URL,Repo URL,Hosted On
info-frontend,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/info-frontend.html,https://github.com/alphagov/info-frontend,aws
licence-finder,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/licence-finder.html,https://github.com/alphagov/licence-finder,aws
licensify,#govuk-licensing,#govuk-licensing,https://docs.publishing.service.gov.uk/apps/licensify.html,https://github.com/alphagov/licensify,aws
link-checker-api,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/link-checker-api.html,https://github.com/alphagov/link-checker-api,aws
local-links-manager,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/local-links-manager.html,https://github.com/alphagov/local-links-manager,aws
manuals-frontend,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/manuals-frontend.html,https://github.com/alphagov/manuals-frontend,aws
manuals-publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/manuals-publisher.html,https://github.com/alphagov/manuals-publisher,aws
mapit,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/mapit.html,https://github.com/alphagov/mapit,aws
maslow,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/maslow.html,https://github.com/alphagov/maslow,aws
publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/publisher.html,https://github.com/alphagov/publisher,aws
publishing-api,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/publishing-api.html,https://github.com/alphagov/publishing-api,aws
release,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/release.html,https://github.com/alphagov/release,carrenza
router,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/router.html,https://github.com/alphagov/router,aws
router-api,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/router-api.html,https://github.com/alphagov/router-api,aws
seal,,,https://docs.publishing.service.gov.uk/apps/seal.html,https://github.com/alphagov/seal,heroku
search-admin,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/search-admin.html,https://github.com/alphagov/search-admin,aws
search-analytics,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/search-analytics.html,https://github.com/alphagov/search-analytics,none
search-api,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/search-api.html,https://github.com/alphagov/search-api,aws
search-performance-explorer,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/search-performance-explorer.html,https://github.com/alphagov/search-performance-explorer,heroku
service-manual-frontend,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/service-manual-frontend.html,https://github.com/alphagov/service-manual-frontend,aws
service-manual-publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/service-manual-publisher.html,https://github.com/alphagov/service-manual-publisher,aws
short-url-manager,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/short-url-manager.html,https://github.com/alphagov/short-url-manager,aws
side-by-side-browser,,,https://docs.publishing.service.gov.uk/apps/side-by-side-browser.html,https://github.com/alphagov/side-by-side-browser,none
side-by-side-browser,,,https://docs.publishing.service.gov.uk/apps/side-by-side-browser.html,https://github.com/alphagov/side-by-side-browser,heroku
signon,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/signon.html,https://github.com/alphagov/signon,carrenza
smart-answers,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/smart-answers.html,https://github.com/alphagov/smart-answers,aws
specialist-publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/specialist-publisher.html,https://github.com/alphagov/specialist-publisher,aws
static,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/static.html,https://github.com/alphagov/static,aws
support,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/support.html,https://github.com/alphagov/support,aws
support-api,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/support-api.html,https://github.com/alphagov/support-api,aws
tech-docs-monitor,,,https://docs.publishing.service.gov.uk/apps/tech-docs-monitor.html,https://github.com/alphagov/tech-docs-monitor,heroku
transition,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/transition.html,https://github.com/alphagov/transition,aws
travel-advice-publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/travel-advice-publisher.html,https://github.com/alphagov/travel-advice-publisher,aws
whitehall,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/whitehall.html,https://github.com/alphagov/whitehall,aws

