Name,Docs URL,Number of pages,Example URL,Rendering apps,Navigation document type,Content purpose,User journey,Search user need,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
staff_update,https://docs.publishing.service.gov.uk/document-types/staff_update.html,18,https://www.gov.uk/government/organisations/sellafield-ltd/about/staff-update,"government-frontend, whitehall-frontend",other,updates-and-alerts,thing,government,other,other,other,other
statistical_data_set,https://docs.publishing.service.gov.uk/document-types/statistical_data_set.html,809,https://www.gov.uk/government/statistical-data-sets/unclaimed-estates-list,"government-frontend, whitehall-frontend",other,data,thing,government,publications,statistics,statistics,research_and_statistics
statistics,https://docs.publishing.service.gov.uk/document-types/statistics.html,33,https://www.gov.uk/government/organisations/public-health-england/about/statistics,government-frontend,other,data,thing,government,other,other,statistics,research_and_statistics
statistics_announcement,https://docs.publishing.service.gov.uk/document-types/statistics_announcement.html,6,https://www.gov.uk/government/statistics/announcements/uk-armed-forces-recovery-capability-wounded-injured-and-sick-201516,government-frontend,other,updates-and-alerts,thing,government,other,other,statistics,research_and_statistics
statutory_guidance,https://docs.publishing.service.gov.uk/document-types/statutory_guidance.html,957,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,"government-frontend, whitehall-frontend",guidance,guidance,thing,government,publications,guidance,guidance,guidance_and_regulation
statutory_instrument,https://docs.publishing.service.gov.uk/document-types/statutory_instrument.html,300,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-product-safety-and-metrology-amendment-eu-exit-regulations-2020,government-frontend,other,other,thing,government,other,other,regulation,guidance_and_regulation
step_by_step_nav,https://docs.publishing.service.gov.uk/document-types/step_by_step_nav.html,46,https://www.gov.uk/get-tax-free-childcare,collections,other,other,thing,government,other,other,transactions,services
take_part,https://docs.publishing.service.gov.uk/document-types/take_part.html,0,,government-frontend,other,other,thing,government,other,other,other,other
tax_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/tax_tribunal_decision.html,968,https://www.gov.uk/tax-and-chancery-tribunal-decisions/the-queen-on-the-application-of-1-sanjeev-mehan-and-2-raj-sehgal-v-the-commissioners-for-hm-revenue-and-customs-2020-ukut-0213-tcc,government-frontend,other,decisions,thing,government,other,other,decisions,news_and_communications
taxon,https://docs.publishing.service.gov.uk/document-types/taxon.html,224,https://www.gov.uk/transition,collections,other,navigation,finding,government,other,other,other,other
terms_of_reference,https://docs.publishing.service.gov.uk/document-types/terms_of_reference.html,33,https://www.gov.uk/government/organisations/traffic-commissioners/about/terms-of-reference,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
topic,https://docs.publishing.service.gov.uk/document-types/topic.html,401,https://www.gov.uk/topic/personal-tax/self-assessment,collections,other,navigation,finding,government,other,other,other,other
topical_event,https://docs.publishing.service.gov.uk/document-types/topical_event.html,0,,whitehall-frontend,other,organising-entities,finding,government,other,other,other,other
topical_event_about_page,https://docs.publishing.service.gov.uk/document-types/topical_event_about_page.html,0,,government-frontend,other,other,thing,government,other,other,other,other
traffic_commissioner_regulatory_decision,https://docs.publishing.service.gov.uk/document-types/traffic_commissioner_regulatory_decision.html,0,,"",other,other,thing,government,other,other,other,other
traffic_commissioner_role,https://docs.publishing.service.gov.uk/document-types/traffic_commissioner_role.html,0,,"",other,other,thing,government,other,other,other,other
transaction,https://docs.publishing.service.gov.uk/document-types/transaction.html,313,https://www.gov.uk/sign-in-universal-credit,frontend,guidance,transactions,thing,core,other,other,transactions,services
transparency,https://docs.publishing.service.gov.uk/document-types/transparency.html,12274,https://www.gov.uk/government/publications/coronavirus-grant-funding-local-authority-payments-to-small-and-medium-businesses,"government-frontend, whitehall-frontend",other,data,thing,government,publications,transparency-data,transparency_data,transparency
travel_advice,https://docs.publishing.service.gov.uk/document-types/travel_advice.html,225,https://www.gov.uk/foreign-travel-advice/spain,government-frontend,guidance,guidance,thing,core,other,other,guidance,guidance_and_regulation
travel_advice_index,https://docs.publishing.service.gov.uk/document-types/travel_advice_index.html,1,https://www.gov.uk/foreign-travel-advice,frontend,other,navigation,thing,core,other,other,other,other
uk_market_conformity_assessment_body,https://docs.publishing.service.gov.uk/document-types/uk_market_conformity_assessment_body.html,0,,"",other,other,thing,government,other,other,other,other
unpublishing,https://docs.publishing.service.gov.uk/document-types/unpublishing.html,0,,government-frontend,other,other,thing,government,other,other,other,other
utaac_decision,https://docs.publishing.service.gov.uk/document-types/utaac_decision.html,1020,https://www.gov.uk/administrative-appeals-tribunal-decisions/mh-v-secretary-of-state-for-work-and-pensions-pip-2020-ukut-185-aac,government-frontend,other,decisions,thing,government,other,other,decisions,news_and_communications
vanish,https://docs.publishing.service.gov.uk/document-types/vanish.html,0,,"",other,other,thing,government,other,other,other,other
welsh_language_scheme,https://docs.publishing.service.gov.uk/document-types/welsh_language_scheme.html,26,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency/about/welsh-language-scheme,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
working_group,https://docs.publishing.service.gov.uk/document-types/working_group.html,0,,government-frontend,other,organising-entities,thing,government,other,other,other,other
world_location,https://docs.publishing.service.gov.uk/document-types/world_location.html,0,,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
world_location_news_article,https://docs.publishing.service.gov.uk/document-types/world_location_news_article.html,0,,government-frontend,other,news,thing,government,other,other,news,news_and_communications
world_news_story,https://docs.publishing.service.gov.uk/document-types/world_news_story.html,12866,https://www.gov.uk/government/news/french-government-restriction-on-movements-and-implementation-of-sanitary-measures-at-the-borders,government-frontend,other,news,thing,government,announcements,other,news,news_and_communications
worldwide_office_staff_role,https://docs.publishing.service.gov.uk/document-types/worldwide_office_staff_role.html,0,,"",other,other,thing,government,other,other,other,other
worldwide_organisation,https://docs.publishing.service.gov.uk/document-types/worldwide_organisation.html,0,,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
written_statement,https://docs.publishing.service.gov.uk/document-types/written_statement.html,1898,https://www.gov.uk/government/speeches/travel-corridors,government-frontend,other,speeches-and-statements,thing,government,announcements,statements,speeches_and_statements,news_and_communications

