Name,Docs URL,Number of pages,Example URL,Rendering apps,Navigation document type,Content purpose,User journey,Search user need,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
employment_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/employment_tribunal_decision.html,63124,https://www.gov.uk/employment-tribunal-decisions/adrienne-liebenberg-v-ds-smith-packaging-ltd-and-others-2200786-2019,government-frontend,other,decisions,thing,government,other,other,decisions,news_and_communications
equality_and_diversity,https://docs.publishing.service.gov.uk/document-types/equality_and_diversity.html,45,https://www.gov.uk/government/organisations/ministry-of-justice/about/equality-and-diversity,government-frontend,other,corporate-info,thing,government,other,other,other,other
esi_fund,https://docs.publishing.service.gov.uk/document-types/esi_fund.html,1364,https://www.gov.uk/european-structural-investment-funds/humber-leadership-and-management-oc18s20p1733,government-frontend,other,grants-and-funding,thing,government,other,other,business_support,guidance_and_regulation
export_health_certificate,https://docs.publishing.service.gov.uk/document-types/export_health_certificate.html,1748,https://www.gov.uk/export-health-certificates/export-cats-to-australia-certificate-2432,government-frontend,other,other,thing,government,other,other,other,other
external_content,https://docs.publishing.service.gov.uk/document-types/external_content.html,518,https://www.gov.ukhttp://www.wakefield.gov.uk,"",other,other,thing,government,other,other,other,other
facet,https://docs.publishing.service.gov.uk/document-types/facet.html,0,,"",other,other,thing,government,other,other,other,other
facet_group,https://docs.publishing.service.gov.uk/document-types/facet_group.html,0,,"",other,other,thing,government,other,other,other,other
facet_value,https://docs.publishing.service.gov.uk/document-types/facet_value.html,0,,"",other,other,thing,government,other,other,other,other
fatality_notice,https://docs.publishing.service.gov.uk/document-types/fatality_notice.html,505,https://www.gov.uk/government/fatalities/ministry-of-defence-confirms-the-death-of-fusilier-sam-brownridge,government-frontend,other,updates-and-alerts,thing,government,announcements,fatality-notices,news,news_and_communications
field_of_operation,https://docs.publishing.service.gov.uk/document-types/field_of_operation.html,0,,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
finder,https://docs.publishing.service.gov.uk/document-types/finder.html,43,https://www.gov.uk/search/all,"finder-frontend, whitehall-frontend, collections",other,navigation,finding,government,other,other,other,other
finder_email_signup,https://docs.publishing.service.gov.uk/document-types/finder_email_signup.html,0,,finder-frontend,other,other,thing,government,other,other,other,other
foi_release,https://docs.publishing.service.gov.uk/document-types/foi_release.html,10869,https://www.gov.uk/government/publications/grade-and-salary-bands,government-frontend,other,data,thing,government,publications,foi-releases,freedom_of_information_releases,transparency
form,https://docs.publishing.service.gov.uk/document-types/form.html,5013,https://www.gov.uk/government/publications/application-for-a-vehicle-registration-certificate,"government-frontend, whitehall-frontend",guidance,transactions,thing,government,publications,forms,transactions,services
gone,https://docs.publishing.service.gov.uk/document-types/gone.html,0,,"",other,other,thing,government,other,other,other,other
government,https://docs.publishing.service.gov.uk/document-types/government.html,0,,"",other,other,thing,government,other,other,other,other
government_response,https://docs.publishing.service.gov.uk/document-types/government_response.html,515,https://www.gov.uk/government/news/relationships-education-relationships-and-sex-education-rse-and-health-education-faqs,government-frontend,other,decisions,thing,government,announcements,government-responses,speeches_and_statements,news_and_communications
governor_role,https://docs.publishing.service.gov.uk/document-types/governor_role.html,0,,"",other,other,thing,government,other,other,other,other
guidance,https://docs.publishing.service.gov.uk/document-types/guidance.html,20234,https://www.gov.uk/government/publications/coronavirus-covid-19-travellers-exempt-from-uk-border-rules,"government-frontend, whitehall-frontend",guidance,guidance,thing,government,publications,guidance,guidance,guidance_and_regulation
guide,https://docs.publishing.service.gov.uk/document-types/guide.html,793,https://www.gov.uk/log-in-register-hmrc-online-services,government-frontend,guidance,guidance,thing,core,other,other,transactions,services
